redirect_clients,type,value
2,read_latency,15610.461113210173
2,update_latency,25935.922515237464
2,throughput,47.34021376000121
2,read_latency,15828.913707102953
2,update_latency,26428.980874097833
2,throughput,47.09754325085141
2,read_latency,16039.740533854687
2,update_latency,26429.438505032682
16,throughput,11.169290705363046
16,read_latency,71600.58498896247
16,update_latency,107003.20629858482
16,throughput,11.563393994898231
16,read_latency,68973.39924030387
16,update_latency,103619.3531412565
16,throughput,11.125846676932115
16,read_latency,72938.83746223565
16,update_latency,106218.48540218471
16,throughput,11.091639122429513
16,read_latency,72356.26292042658
16,update_latency,106524.3992974239
16,throughput,11.037113397510469
16,read_latency,72661.63112100364
16,update_latency,107637.78983788058
16,throughput,11.058595071847693
16,read_latency,73888.39089638651
16,update_latency,106644.43558405129
16,throughput,11.190200964819127
16,read_latency,71671.41752782193
16,update_latency,106909.11574074074
16,throughput,11.659101852747876
16,read_latency,70262.79487179487
16,update_latency,100973.47373717045
16,throughput,10.933956714652158
16,read_latency,74555.41903807616
16,update_latency,107833.66407185628
16,throughput,11.071548776815291
16,read_latency,73058.31011508177
16,update_latency,106921.01822865069
16,throughput,11.603324120293982
16,read_latency,71275.79012345678
16,update_latency,100647.91824025713
16,throughput,10.994278577428306
16,read_latency,73309.04373003195
16,update_latency,108292.97215544872
16,throughput,10.959648765176373
16,read_latency,74163.36314741036
16,update_latency,108139.28313253012
16,throughput,11.123668496880923
16,read_latency,73077.42657342658
16,update_latency,106459.68148148149
16,throughput,11.161910204664785
16,read_latency,72036.83938660209
16,update_latency,106269.52180808882
16,throughput,11.54211950248848
16,read_latency,69568.32173038229
16,update_latency,103182.7017892644
16,throughput,11.079006611951145
16,read_latency,73201.94265873016
16,update_latency,107080.60665322581
16,throughput,11.15724010045979
16,read_latency,72213.28718151293
16,update_latency,106820.537370873
16,throughput,11.032729695915904
16,read_latency,73249.2371897518
16,update_latency,107707.80255795363
16,throughput,10.95626259970199
16,read_latency,73808.49678972713
16,update_latency,108251.89035087719
16,throughput,11.190276097682158
16,read_latency,72261.21550835224
16,update_latency,105143.39720442632
16,throughput,10.943876518052472
16,read_latency,74240.59388122376
16,update_latency,107974.88737747549
16,throughput,11.240236449613954
16,read_latency,73575.62179110327
16,update_latency,104593.55911782724
16,throughput,11.082014665938209
16,read_latency,72079.66787585651
16,update_latency,107484.77054386662
16,throughput,11.208977942973204
16,read_latency,72122.38989169674
16,update_latency,105862.92421220582
1,throughput,60.20679831083807
1,read_latency,15089.47311375566
1,update_latency,18099.29998402747
1,throughput,59.85995165710304
1,read_latency,15358.67709908476
1,update_latency,18018.669843184558
1,throughput,64.6511456506265
1,read_latency,13606.390238533579
1,update_latency,17300.89196050212
